epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.850583,0.163492,1.780663,0.166667,0.001
2,1.794148,0.178571,1.772297,0.17037,0.001
3,1.78555,0.17619,1.778167,0.233333,0.001
4,1.782927,0.185714,1.779818,0.303704,0.001
5,1.77348,0.192857,1.779642,0.27037,0.001
6,1.776503,0.18254,1.768081,0.225926,0.001
7,1.761899,0.203968,1.760037,0.181481,0.001
8,1.774386,0.205556,1.769116,0.274074,0.001
9,1.765745,0.203175,1.772998,0.311111,0.001
10,1.758543,0.207937,1.770419,0.296296,0.001
11,1.760383,0.22619,1.76126,0.322222,0.001
12,1.766044,0.211905,1.765501,0.314815,0.001
