epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.795454,0.18254,1.790072,0.266667,0.001
2,1.788854,0.205556,1.785359,0.174074,0.001
3,1.786043,0.189683,1.781556,0.166667,0.001
4,1.78097,0.193651,1.777788,0.166667,0.001
5,1.777209,0.18254,1.774346,0.166667,0.001
6,1.772728,0.184921,1.770922,0.166667,0.001
7,1.766646,0.193651,1.767726,0.174074,0.001
8,1.765414,0.175397,1.765412,0.17037,0.001
9,1.756191,0.201587,1.762084,0.174074,0.001
10,1.759366,0.201587,1.759755,0.185185,0.001
11,1.755578,0.203175,1.756562,0.185185,0.001
12,1.759424,0.198413,1.753906,0.188889,0.001
13,1.75162,0.204762,1.750779,0.192593,0.001
14,1.756466,0.204762,1.748769,0.2,0.001
15,1.746525,0.219048,1.746493,0.203704,0.001
16,1.73997,0.235714,1.742849,0.207407,0.001
17,1.744952,0.226984,1.739254,0.233333,0.001
18,1.733363,0.235714,1.737443,0.222222,0.001
19,1.73693,0.223016,1.733592,0.233333,0.001
20,1.728789,0.257143,1.729741,0.248148,0.001
